Date,Session Date,Exercise Name,sets,total_reps,total_volume,max_weight,avg_weight,best_1rm,best_reps,previous_weight,previous_volume,previous_reps,previous_1rm,previous_sets,weight_2_sessions_ago,volume_2_sessions_ago,one_rm_2_sessions_ago,weight_3_sessions_ago,volume_3_sessions_ago,one_rm_3_sessions_ago,weight_change,volume_change,reps_change,one_rm_change,weight_change_2,volume_change_2,one_rm_change_2,days_since_previous,previous_session_count,rolling_avg_weight_3,rolling_avg_volume_3,rolling_avg_1rm_3,rolling_avg_reps_3,recent_best_weight_3,recent_best_1rm_3,weight_trend,volume_trend,one_rm_trend,target_weight
2015-10-30 13:07:09,2015-10-30,Incline Bench Press (Barbell),8,53,10685.0,235.0,195.625,291.3333333333333,8,230.0,9650.0,52.0,291.3333333333333,7.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1035.0,1.0,0.0,0.0,0.0,0.0,6.833703703703704,1,230.0,9650.0,291.3333333333333,52.0,230.0,291.3333333333333,0.0,0.0,0.0,235.0
2015-10-30 17:47:44,2015-10-30,Rear delt fly,4,40,4450.0,115.0,111.25,153.33333333333331,10,120.0,4080.0,34.0,168.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.0,370.0,6.0,-14.666666666666686,0.0,0.0,0.0,6.311018518518519,1,120.0,4080.0,168.0,34.0,120.0,168.0,0.0,0.0,0.0,115.0
2015-10-30 17:47:44,2015-10-30,Seated Cable Row (close Grip),4,38,6515.0,175.0,171.25,233.3333333333333,10,130.0,4160.0,32.0,164.66666666666666,4.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,2355.0,6.0,68.66666666666663,0.0,0.0,0.0,6.311018518518519,1,130.0,4160.0,164.66666666666666,32.0,130.0,164.66666666666666,0.0,0.0,0.0,175.0
2015-11-01 11:23:25,2015-11-01,Squat (Barbell),9,71,16705.0,295.0,236.11111111111111,373.6666666666666,8,315.0,10940.0,44.0,399.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,-20.0,5765.0,27.0,-25.333333333333428,0.0,0.0,0.0,8.556840277777777,1,315.0,10940.0,399.0,44.0,315.0,399.0,0.0,0.0,0.0,295.0
2015-11-04 19:21:19,2015-11-04,Incline Bench Press (Barbell),6,44,9205.0,240.0,208.33333333333334,296.0,8,235.0,10685.0,53.0,291.3333333333333,8.0,230.0,9650.0,291.3333333333333,0.0,0.0,0.0,5.0,-1480.0,-9.0,4.666666666666686,10.0,-445.0,4.666666666666686,5.259837962962963,2,232.5,10167.5,291.3333333333333,52.5,235.0,291.3333333333333,0.0,0.0,0.0,240.0
2015-11-06 16:48:14,2015-11-06,Lat Pulldown,3,36,5520.0,155.0,153.33333333333334,217.0,12,150.0,3000.0,20.0,200.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2520.0,16.0,17.0,0.0,0.0,0.0,13.269699074074074,1,150.0,3000.0,200.0,20.0,150.0,200.0,0.0,0.0,0.0,155.0
2015-11-06 16:48:14,2015-11-06,Rear delt fly,4,52,5980.0,115.0,115.0,172.5,15,115.0,4450.0,40.0,153.33333333333331,4.0,120.0,4080.0,168.0,0.0,0.0,0.0,0.0,1530.0,12.0,19.166666666666686,-5.0,1900.0,4.5,6.9586805555555555,2,117.5,4265.0,160.66666666666666,37.0,120.0,168.0,0.0,0.0,0.0,115.0
2015-11-06 16:48:14,2015-11-06,Seated Cable Row (close Grip),3,28,4315.0,160.0,155.0,208.0,11,175.0,6515.0,38.0,233.3333333333333,4.0,130.0,4160.0,164.66666666666666,0.0,0.0,0.0,-15.0,-2200.0,-10.0,-25.333333333333286,30.0,155.0,43.33333333333334,6.9586805555555555,2,152.5,5337.5,198.99999999999997,35.0,175.0,233.3333333333333,0.0,0.0,0.0,160.0
2015-11-08 12:37:21,2015-11-08,Incline Bench Press (Barbell),5,39,7935.0,235.0,203.0,297.66666666666663,8,240.0,9205.0,44.0,296.0,6.0,235.0,10685.0,291.3333333333333,230.0,9650.0,291.3333333333333,-5.0,-1270.0,-5.0,1.6666666666666288,0.0,-2750.0,6.333333333333314,3.7194675925925926,3,235.0,9846.666666666666,292.88888888888886,49.666666666666664,240.0,296.0,10.0,-445.0,4.666666666666686,235.0
2015-11-08 12:37:21,2015-11-08,Seated Military Press,3,30,4950.0,165.0,165.0,220.0,10,165.0,5150.0,34.0,209.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-200.0,-4.0,11.0,0.0,0.0,0.0,3.7194675925925926,1,165.0,5150.0,209.0,34.0,165.0,209.0,0.0,0.0,0.0,165.0
2015-11-08 12:37:21,2015-11-08,Seated Shoulder Press (Barbell),3,30,4950.0,165.0,165.0,220.0,10,165.0,5150.0,34.0,209.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-200.0,-4.0,11.0,0.0,0.0,0.0,3.7194675925925926,1,165.0,5150.0,209.0,34.0,165.0,209.0,0.0,0.0,0.0,165.0
2015-11-08 17:45:26,2015-11-08,Glute extension.,2,20,2600.0,130.0,130.0,173.33333333333331,10,175.0,3500.0,20.0,233.3333333333333,2.0,0.0,0.0,0.0,0.0,0.0,0.0,-45.0,-900.0,0.0,-59.99999999999997,0.0,0.0,0.0,7.265289351851852,1,175.0,3500.0,233.3333333333333,20.0,175.0,233.3333333333333,0.0,0.0,0.0,130.0
2015-11-08 17:45:26,2015-11-08,Leg press (hinge ),3,30,10800.0,360.0,360.0,480.0,10,430.0,12900.0,30.0,573.3333333333333,3.0,0.0,0.0,0.0,0.0,0.0,0.0,-70.0,-2100.0,0.0,-93.33333333333326,0.0,0.0,0.0,15.822129629629629,1,430.0,12900.0,573.3333333333333,30.0,430.0,573.3333333333333,0.0,0.0,0.0,360.0
2015-11-08 17:45:26,2015-11-08,Squat (Barbell),6,48,12320.0,295.0,256.6666666666667,373.6666666666666,8,295.0,16705.0,71.0,373.6666666666666,9.0,315.0,10940.0,399.0,0.0,0.0,0.0,0.0,-4385.0,-23.0,0.0,-20.0,1380.0,-25.333333333333428,7.265289351851852,2,305.0,13822.5,386.33333333333326,57.5,315.0,399.0,0.0,0.0,0.0,295.0
2015-11-10 17:10:12,2015-11-10,Hammer Curl (Dumbbell ),2,30,2400.0,80.0,80.0,120.0,15,80.0,1340.0,18.0,101.33333333333331,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1060.0,12.0,18.666666666666686,0.0,0.0,0.0,10.973935185185185,1,80.0,1340.0,101.33333333333331,18.0,80.0,101.33333333333331,0.0,0.0,0.0,80.0
2015-11-10 17:10:12,2015-11-10,Rear delt fly,3,36,4380.0,125.0,121.66666666666667,176.0,14,115.0,5980.0,52.0,172.5,4.0,115.0,4450.0,153.33333333333331,120.0,4080.0,168.0,10.0,-1600.0,-16.0,3.5,10.0,-70.0,22.666666666666686,4.01525462962963,3,116.66666666666667,4836.666666666667,164.61111111111111,42.0,120.0,172.5,-5.0,1900.0,4.5,125.0
2015-11-10 17:10:12,2015-11-10,Seated Cable Row (close Grip),4,44,7460.0,190.0,171.25,253.3333333333333,12,160.0,4315.0,28.0,208.0,3.0,175.0,6515.0,233.3333333333333,130.0,4160.0,164.66666666666666,30.0,3145.0,16.0,45.333333333333286,15.0,945.0,20.0,4.01525462962963,3,155.0,4996.666666666667,202.0,32.666666666666664,175.0,233.3333333333333,30.0,155.0,43.33333333333334,190.0
2015-11-15 11:30:55,2015-11-15,Leg press (hinge ),3,36,16200.0,450.0,450.0,630.0,12,360.0,10800.0,30.0,480.0,3.0,430.0,12900.0,573.3333333333333,0.0,0.0,0.0,90.0,5400.0,6.0,150.0,20.0,3300.0,56.66666666666674,6.739918981481481,2,395.0,11850.0,526.6666666666666,30.0,430.0,573.3333333333333,0.0,0.0,0.0,450.0
2015-11-15 11:30:55,2015-11-15,Squat (Barbell),8,62,15870.0,315.0,253.75,399.0,8,295.0,12320.0,48.0,373.6666666666666,6.0,295.0,16705.0,373.6666666666666,315.0,10940.0,399.0,20.0,3550.0,14.0,25.333333333333428,20.0,-835.0,25.333333333333428,6.739918981481481,3,301.6666666666667,13321.666666666666,382.11111111111103,54.333333333333336,315.0,399.0,-20.0,1380.0,-25.333333333333428,315.0
2015-11-16 18:10:32,2015-11-16,Seated Cable Row (close Grip),3,28,3640.0,130.0,130.0,173.33333333333331,10,190.0,7460.0,44.0,253.3333333333333,4.0,160.0,4315.0,208.0,175.0,6515.0,233.3333333333333,-60.0,-3820.0,-16.0,-79.99999999999997,-30.0,-675.0,-34.666666666666686,6.041898148148148,4,175.0,6096.666666666667,231.55555555555554,36.666666666666664,190.0,253.3333333333333,15.0,945.0,20.0,130.0
